Country (or dependency);Population (2020)
United States;0,324120308
Brazil;0,208184068
Mexico;0,12635118
Colombia;0,049865349
Argentina;0,044280959
Canada;0,036975664
Peru;0,032329965
Venezuela;0,027802204
Chile;0,018727397
Guatemala;0,017579741
Ecuador;0,017303121
Bolivia;0,01144523
Haiti;0,011177347
Cuba;0,011078583
Dominican Republic;0,010629855
Honduras;0,009714905
Paraguay;0,00699179
Nicaragua;0,006493415
El Salvador;0,006350448
Costa Rica;0,004990969
Panama;0,004232015
Uruguay;0,003400095
Jamaica;0,002898849
Puerto Rico;0,00278482
Trinidad and Tobago;0,001369767
Guyana;0,00077006
Guadeloupe;0,000391416
Belize;0,000390153
Bahamas;0,000385309
French Guiana;0,000293421
Barbados;0,000281173
Grenada;0,00011016
Aruba;0,000104517
Dominica;0,0000704476
Cayman Islands;0,0000644189
Bermuda;0,0000608807
;
